folio,leaf_num,tombId,folio_url,tomb_text,folio_text
b12.011v,011v,b12,http://ica.themorgan.org/icaimages/1/b12.011v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 11v,
b12.012r,012r,b12,http://ica.themorgan.org/icaimages/1/b12.012r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 12r,
b12.012v,012v,b12,http://ica.themorgan.org/icaimages/1/b12.012v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 12v,
b12.013r,013r,b12,http://ica.themorgan.org/icaimages/1/b12.013r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 13r,
b12.013v,013v,b12,http://ica.themorgan.org/icaimages/1/b12.013v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 13v,
b12.014r,014r,b12,http://ica.themorgan.org/icaimages/1/b12.014r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 14r,
b12.014v,014v,b12,http://ica.themorgan.org/icaimages/1/b12.014v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 14v,
b12.015r,015r,b12,http://ica.themorgan.org/icaimages/1/b12.015r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 15r,
b12.015v,015v,b12,http://ica.themorgan.org/icaimages/1/b12.015v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 15v,Table for planets/
b12.018v,018v,b12,http://ica.themorgan.org/icaimages/1/b12.018v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 18v,Table for zodiac signs/
b12.019r,019r,b12,http://ica.themorgan.org/icaimages/1/b12.019r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 19r,
b12.020r,020r,b12,http://ica.themorgan.org/icaimages/1/b12.020r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 20r,
b12.020v,020v,b12,http://ica.themorgan.org/icaimages/1/b12.020v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 20v,
b12.021r,021r,b12,http://ica.themorgan.org/icaimages/1/b12.021r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 21r,
b12.031r,031r,b12,http://ica.themorgan.org/icaimages/1/b12.031r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 31r,
b12.031v,031v,b12,http://ica.themorgan.org/icaimages/1/b12.031v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 31v,Diagram for measuring the latitude and longitude of cities with table of measurements/ including those for Jerusalem/ Rome/ Pisa/ Florence/ Paris/ London/ Edinburgh/ and English cities Canterbury and Lincoln/
b12.032r,032r,b12,http://ica.themorgan.org/icaimages/1/b12.032r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 32r,
b12.042v,042v,b12,http://ica.themorgan.org/icaimages/1/b12.042v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 42v,Circular diagram with elements and qualities for zodiac signs/
b12.049r,049r,b12,http://ica.themorgan.org/icaimages/1/b12.049r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 49r,
b12.050v,050v,b12,http://ica.themorgan.org/icaimages/1/b12.050v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 50v,Circular diagram for planets and zodiac signs/
b12.054r,054r,b12,http://ica.themorgan.org/icaimages/1/b12.054r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 54r,
b12.054v,054v,b12,http://ica.themorgan.org/icaimages/1/b12.054v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 54v,
b12.055r,055r,b12,http://ica.themorgan.org/icaimages/1/b12.055r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 55r,
b12.058r,058r,b12,http://ica.themorgan.org/icaimages/1/b12.058r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 58r,
b15.002v,002v,b15,http://ica.themorgan.org/icaimages/1/b15.002v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 2v,Geometric forms including straight and wavy lines/ both labelled TERMINATA; two circles/ one labelled NON TERMINATA/ the other CIRCONFERE(N)TIALE NON TERMINATA; and two rounded forms labelled NON TERMINATA//Below/ straight line labelled LINEA PETTA; curved line labelled LINEA CURUA; and wavy line labelled LINEA CURUA OUERO FLEXUOSA/
b15.003r,003r,b15,http://ica.themorgan.org/icaimages/1/b15.003r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 3r,Diagrams concerning surface of forms/ including one with four straight sides labelled SUPERFICIE and another of two curved lines labelled SUPERFICIE CURUILINEA OUERO BIANGOLA/
b15.003v,003v,b15,http://ica.themorgan.org/icaimages/1/b15.003v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 3v,Diagram showing juncture of two straight lines (AB and BC)/ Second diagram of two lines (AG and GH) joining at an angle/ inscribed ANG(OL)O PLANO DE LINEE RETTE//At bottom/ three diagrams demonstrating junction of straight and curved lines/ and of two curved lines/ two inscribed ANG(OL)O PLANO DE UNA LINE RETTA ET UNA CURUA and the other/ ANG(OL)O PLANO DE DUE LINEE CURUE/
b15.004r,004r,b15,http://ica.themorgan.org/icaimages/1/b15.004r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 4r,Two diagrams of two lines at angle/ each diagram labelled ANG(OL)O RETTILINEO/ Below/ two diagrams of junction of three straight lines (CB/ AB and BD)/ In first diagram/ line AB forms right angles/ labelled ANG(OL)O RETTO/ In third diagram line AB forms acute angle/ labelled ANG(OL)O ACUTO and obtuse angle labelled ANG(OL)O OTTUSO/
b15.004v,004v,b15,http://ica.themorgan.org/icaimages/1/b15.004v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 4v,Diagram of the joining of three lines (AD/ CD/ and DB)/
b15.005r,005r,b15,http://ica.themorgan.org/icaimages/1/b15.005r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 5r,Illustration of geometric solids/ including cuboid/ sphere/ tetrahedron/ pentagonal prism/ cylinder/ and rhomboid/
b15.005v,005v,b15,http://ica.themorgan.org/icaimages/1/b15.005v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 5v,Diagrams/ including triangle labelled SUPERFICIE TRILATERA; rectangle labelled SUPERFICIE QUADRILATERA; hexagon labelled SUPERFICIE MULTILATERA OUERO EXAGONA; and pentagon labelled SUPERFICIE MULTILATERA OUERO PENTAGONA/
b15.006r,006r,b15,http://ica.themorgan.org/icaimages/1/b15.006r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 6r,Three triangles (equilateral/ isoceles/ and scalene) labelled TRIANGOLO EQUILATERO/ TRIANGOLO ISOCELLO/ and TRIANGOLO SCHALENO
b15.006v,006v,b15,http://ica.themorgan.org/icaimages/1/b15.006v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 6v,Three diagrams of triangles:/1) Two isoceles triangles/ one labelled ORTH(O)GONIO/ the other labelled TRIANG(OL)O ORTHOGONIO//2) Triangle labelled TRIANG(OL)O AMBLIGONIO//3) Three triangles each labelled OXIGONIO/
b15.007r,007r,b15,http://ica.themorgan.org/icaimages/1/b15.007r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 7r,Two squares labelled QUADRATO/
b15.007v,007v,b15,http://ica.themorgan.org/icaimages/1/b15.007v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 7v,Three diagrams of polygons:/1) Two rectangles labelled TETRAGONO LONGO//2) Two rhombuses labelled HELMUAYM OUER RHOMBO//3) Parallelogram labelled SIMILE HELMUAYM OUER RHOMBOIDE/
b15.008r,008r,b15,http://ica.themorgan.org/icaimages/1/b15.008r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 8r,Three trapezoids labelled FIGURE HELMUARIPHE OUERO TRAPEZZIE//Of three circles/ circumference of first labelled CIRCONFERENTIA/ and center labelled CENTRO; second labelled CERCHIO; and third/ divided into wedges/ also labelled CERCHIO/
b15.008v,008v,b15,http://ica.themorgan.org/icaimages/1/b15.008v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 8v,Two ovoid shapes marked A and C; oval marked B//Below/ circle bisected by diameter/ labelled DIAMETRO DEL (?) CERCHIO
b15.009r,009r,b15,http://ica.themorgan.org/icaimages/1/b15.009r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 9r,
b15.009v,009v,b15,http://ica.themorgan.org/icaimages/1/b15.009v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 9v,
b15.010r,010r,b15,http://ica.themorgan.org/icaimages/1/b15.010r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 10r,
b15.010v,010v,b15,http://ica.themorgan.org/icaimages/1/b15.010v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 10v,
b15.011r,011r,b15,http://ica.themorgan.org/icaimages/1/b15.011r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 11r,
b15.011v,011v,b15,http://ica.themorgan.org/icaimages/1/b15.011v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 11v,
b15.012r,012r,b15,http://ica.themorgan.org/icaimages/1/b15.012r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 12r,
b15.012v,012v,b15,http://ica.themorgan.org/icaimages/1/b15.012v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 12v,
b15.013r,013r,b15,http://ica.themorgan.org/icaimages/1/b15.013r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 13r,
b15.013v,013v,b15,http://ica.themorgan.org/icaimages/1/b15.013v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 13v,
b15.014r,014r,b15,http://ica.themorgan.org/icaimages/1/b15.014r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 14r,
b15.014v,014v,b15,http://ica.themorgan.org/icaimages/1/b15.014v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 14v,
b15.015r,015r,b15,http://ica.themorgan.org/icaimages/1/b15.015r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 15r,
b15.015v,015v,b15,http://ica.themorgan.org/icaimages/1/b15.015v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 15v,
b15.016r,016r,b15,http://ica.themorgan.org/icaimages/1/b15.016r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 16r,
b15.016v,016v,b15,http://ica.themorgan.org/icaimages/1/b15.016v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 16v,
b15.018r,018r,b15,http://ica.themorgan.org/icaimages/1/b15.018r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 18r,
b15.019r,019r,b15,http://ica.themorgan.org/icaimages/1/b15.019r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 19r,
b15.020r,020r,b15,http://ica.themorgan.org/icaimages/1/b15.020r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 20r,
b15.021r,021r,b15,http://ica.themorgan.org/icaimages/1/b15.021r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 21r,
b15.021v,021v,b15,http://ica.themorgan.org/icaimages/1/b15.021v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 21v,
b15.022r,022r,b15,http://ica.themorgan.org/icaimages/1/b15.022r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 22r,
b15.022v,022v,b15,http://ica.themorgan.org/icaimages/1/b15.022v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 22v,
b15.023r,023r,b15,http://ica.themorgan.org/icaimages/1/b15.023r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 23r,
b15.023v,023v,b15,http://ica.themorgan.org/icaimages/1/b15.023v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 23v,
b15.024r,024r,b15,http://ica.themorgan.org/icaimages/1/b15.024r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 24r,
b15.024v,024v,b15,http://ica.themorgan.org/icaimages/1/b15.024v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 24v,
b15.025r,025r,b15,http://ica.themorgan.org/icaimages/1/b15.025r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 25r,
b15.025v,025v,b15,http://ica.themorgan.org/icaimages/1/b15.025v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 25v,
b15.026r,026r,b15,http://ica.themorgan.org/icaimages/1/b15.026r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 26r,
b15.026v,026v,b15,http://ica.themorgan.org/icaimages/1/b15.026v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 26v,
b15.027r,027r,b15,http://ica.themorgan.org/icaimages/1/b15.027r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 27r,
b15.029r,029r,b15,http://ica.themorgan.org/icaimages/1/b15.029r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 29r,
b15.029v,029v,b15,http://ica.themorgan.org/icaimages/1/b15.029v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 29v,
b15.030v,030v,b15,http://ica.themorgan.org/icaimages/1/b15.030v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 30v,
b15.031r,031r,b15,http://ica.themorgan.org/icaimages/1/b15.031r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 31r,
b15.031v,031v,b15,http://ica.themorgan.org/icaimages/1/b15.031v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 31v,
b15.032v,032v,b15,http://ica.themorgan.org/icaimages/1/b15.032v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 32v,
b15.033r,033r,b15,http://ica.themorgan.org/icaimages/1/b15.033r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 33r,
b15.035r,035r,b15,http://ica.themorgan.org/icaimages/1/b15.035r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 35r,
b15.028r,028r,b15,http://ica.themorgan.org/icaimages/1/b15.028r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 28r,
b15.035v,035v,b15,http://ica.themorgan.org/icaimages/1/b15.035v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 35v,
b15.035v,035v,b15,http://ica.themorgan.org/icaimages/1/b15.035v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 35v,
b15.036r,036r,b15,http://ica.themorgan.org/icaimages/1/b15.036r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 36r,
b15.036v,036v,b15,http://ica.themorgan.org/icaimages/1/b15.036v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 36v,
b15.037r,037r,b15,http://ica.themorgan.org/icaimages/1/b15.037r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 37r,
b15.037v,037v,b15,http://ica.themorgan.org/icaimages/1/b15.037v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 37v,
b15.038r,038r,b15,http://ica.themorgan.org/icaimages/1/b15.038r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 38r,
b15.038v,038v,b15,http://ica.themorgan.org/icaimages/1/b15.038v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 38v,
b15.039r,039r,b15,http://ica.themorgan.org/icaimages/1/b15.039r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 39r,
b15.039v,039v,b15,http://ica.themorgan.org/icaimages/1/b15.039v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 39v,
b15.040r,040r,b15,http://ica.themorgan.org/icaimages/1/b15.040r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 40r,
b15.043v,043v,b15,http://ica.themorgan.org/icaimages/1/b15.043v.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 43v,
b15.044r,044r,b15,http://ica.themorgan.org/icaimages/1/b15.044r.jpg,La pratica de mesurar le terreItaly/ Venice/ second half of the 16th centuryMS B/15 fol/ 44r,
b17.001v,001v,b17,http://ica.themorgan.org/icaimages/1/b17.001v.jpg,Liber ruralium commodorumEngland/ between 1400 and 1430MS B/17 fol/ 1v,
b17.003v,003v,b17,http://ica.themorgan.org/icaimages/1/b17.003v.jpg,Liber ruralium commodorumEngland/ between 1400 and 1430MS B/17 fol/ 3v,
b19.001r,001r,b19,http://ica.themorgan.org/icaimages/1/b19.001r.jpg,Cuoco napolitanoItaly/ Naples/ end of the 15th centuryMS B/19 fol/ 1r,Leafy stems in vase (?) next to small initial P/
b19.025v,025v,b19,http://ica.themorgan.org/icaimages/1/b19.025v.jpg,Cuoco napolitanoItaly/ Naples/ end of the 15th centuryMS B/19 fol/ 25v,Bird/ wings spread in lower margin/ below section of text concerning display of cooked peacock/
b19.026v,026v,b19,http://ica.themorgan.org/icaimages/1/b19.026v.jpg,Cuoco napolitanoItaly/ Naples/ end of the 15th centuryMS B/19 fol/ 26v,Cow in lower margin/ below text concerning how to make cooked cow/ calf or stag look alive/
b19.028v,028v,b19,http://ica.themorgan.org/icaimages/1/b19.028v.jpg,Cuoco napolitanoItaly/ Naples/ end of the 15th centuryMS B/19 fol/ 28v,Bird in lower margin/ below text about making pies of capons/ cockerels/ and pigeons/
b19.029r,029r,b19,http://ica.themorgan.org/icaimages/1/b19.029r.jpg,Cuoco napolitanoItaly/ Naples/ end of the 15th centuryMS B/19 fol/ 29r,Cock (rooster) in lower margin below directions for cock pie/
b19.029v,029v,b19,http://ica.themorgan.org/icaimages/1/b19.029v.jpg,Cuoco napolitanoItaly/ Naples/ end of the 15th centuryMS B/19 fol/ 29v,Kid in lower margin below recipe for goat-kid pie/
b19.032v,032v,b19,http://ica.themorgan.org/icaimages/1/b19.032v.jpg,Cuoco napolitanoItaly/ Naples/ end of the 15th centuryMS B/19 fol/ 32v,In lower margin/ leaves below recipes for stuffing and for sausage/
b19.046r,046r,b19,http://ica.themorgan.org/icaimages/1/b19.046r.jpg,Cuoco napolitanoItaly/ Naples/ end of the 15th centuryMS B/19 fol/ 46r,Animal in lower margin below recipe for garlic sauce/
b19.046v,046v,b19,http://ica.themorgan.org/icaimages/1/b19.046v.jpg,Cuoco napolitanoItaly/ Naples/ end of the 15th centuryMS B/19 fol/ 46v,Animal in lower margin below recipe for white torte/
b19.053r,053r,b19,http://ica.themorgan.org/icaimages/1/b19.053r.jpg,Cuoco napolitanoItaly/ Naples/ end of the 15th centuryMS B/19 fol/ 53r,Hybrid man with body of bird/ possibly inscribed CATHERINA/ below recipes for eggs/
b19.058r,058r,b19,http://ica.themorgan.org/icaimages/1/b19.058r.jpg,Cuoco napolitanoItaly/ Naples/ end of the 15th centuryMS B/19 fol/ 58r,Snail in lower margin below recipe for cooking snails/
b19.073v,073v,b19,http://ica.themorgan.org/icaimages/1/b19.073v.jpg,Cuoco napolitanoItaly/ Naples/ end of the 15th centuryMS B/19 fol/ 73v,In lower margin eel/ inscribed MOREN[A]/ two fish and turtle below recipes for eel and fish/
b20.001r,001r,b20,http://ica.themorgan.org/icaimages/2/b20.001r.jpg,Literalis expositio super Apocalypsim / Fredericus de VenetiisItaly/ Urbino/ October 8/ 1456MS B/20 fol/ 1r,Initial Q enclosing flower//In lower margin/ each of two putti extend hand to wreath surrounding escutcheon decorated with heraldry (azure/ three bars argent)/
b20.013r,013r,b20,http://ica.themorgan.org/icaimages/2/b20.013r.jpg,Literalis expositio super Apocalypsim / Fredericus de VenetiisItaly/ Urbino/ October 8/ 1456MS B/20 fol/ 13r,Initial E/ decorated with foliate ornament/ enclosing two scrolls inscribed SPERA IN DEO SEMPER/
b20.094v,094v,b20,http://ica.themorgan.org/icaimages/2/b20.094v.jpg,Literalis expositio super Apocalypsim / Fredericus de VenetiisItaly/ Urbino/ October 8/ 1456MS B/20 fol/ 94v,Christ: bearing Cross -- Below text in left column/ Christ/ crossed nimbus/ grasping cross with both hands//In lower margin/ figure/ possibly woman/
